trajectory,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_14,sc_15,sc_16,sc_17,sc_19
0,0.014749,0.010060,0.010594,0.015987,0.003070,0.001256,-0.002935,0.001764,-0.003384,-0.001847,-0.005230,-0.000622,0.000771,0.002011,0.002858,0.001200,-0.019123,-0.015860
1,0.020325,0.012620,0.010220,0.018769,-0.002383,-0.000523,-0.004721,-0.001951,-0.005050,-0.001643,-0.000166,-0.005382,0.008181,0.000474,-0.001009,-0.015200,-0.012464,-0.016036
2,0.008937,0.015659,0.021311,0.014302,-0.000027,-0.004301,0.002930,-0.003859,0.002853,-0.003522,-0.001960,-0.000494,0.008678,0.004434,-0.002026,-0.005095,-0.011463,-0.006634
3,0.018293,0.016863,0.012424,0.011771,-0.009418,-0.007757,-0.004627,0.001652,0.000280,-0.000508,-0.002358,-0.001989,0.006342,0.000355,-0.000630,-0.012352,-0.008128,-0.024033
4,0.011779,0.014857,0.021588,0.015582,0.000815,-0.000226,0.004723,0.005210,0.007225,-0.003396,0.000333,-0.006426,0.003859,0.002175,-0.003141,-0.011433,-0.011682,-0.019798
5,0.016308,0.019146,0.006684,0.019655,0.007016,0.000975,-0.000424,-0.000500,-0.009157,0.002126,0.003739,-0.007029,0.011617,-0.001577,0.004741,-0.022582,-0.013707,-0.010230
6,0.019401,0.027160,0.017425,0.017701,-0.005502,-0.001148,0.001647,0.002983,0.000486,-0.009037,-0.000863,-0.001444,0.000803,0.003512,-0.003467,-0.013013,-0.014494,-0.014969
7,0.015428,0.014360,0.012062,0.016742,-0.000168,-0.004844,0.007692,0.001698,0.000196,0.003643,-0.003140,0.001297,0.004503,0.000505,-0.007892,-0.022844,-0.013003,0.000203
8,0.023835,0.013839,0.017954,0.010248,-0.001240,0.000553,0.002997,-0.002545,0.001092,0.002951,0.002220,-0.001554,0.009486,0.002968,-0.000427,-0.010917,-0.011952,-0.017834
9,0.015002,0.013694,0.021132,0.012608,-0.000970,0.007364,0.002732,0.004610,0.000301,0.005886,-0.001150,0.001113,0.009678,0.002817,-0.002660,-0.011905,-0.015585,-0.012343
10,0.020374,0.014280,0.014271,0.012883,0.001219,0.000216,-0.001886,0.002815,-0.003761,0.000849,0.002031,0.002998,0.008817,0.000691,0.006633,-0.010290,-0.008167,-0.008125
