trajectory,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_14,sc_15,sc_16,sc_17,sc_19
0,0.015047,0.014700,0.020033,0.010080,0.000508,-0.001620,-0.003166,-0.001095,0.008338,0.003455,-0.002180,-0.016087,0.005650,-0.006862,-0.009406,-0.017147,-0.015255,-0.020204
1,0.013818,0.017831,0.019074,0.016726,0.000404,0.000689,-0.001627,-0.002695,0.000365,0.002222,0.001602,0.002687,-0.002850,-0.001279,0.000085,-0.005171,-0.016499,-0.008930
2,0.013606,0.009452,0.014358,0.013498,-0.007566,0.004876,-0.000894,0.002562,0.005233,-0.003632,-0.002665,-0.000205,-0.006291,-0.000584,0.006881,-0.017605,-0.013864,-0.010953
3,0.011753,0.015002,0.012493,0.015941,0.002032,0.001489,0.003665,-0.004133,0.002823,0.006961,-0.006332,-0.001005,0.010876,0.007447,0.002733,-0.019295,-0.020074,-0.013978
4,0.010305,0.019717,0.015905,0.017622,-0.000816,-0.003617,0.000299,-0.006382,-0.009959,0.001797,-0.001737,0.007207,-0.002843,-0.003016,0.011531,-0.009306,-0.009563,-0.013970
5,0.014145,0.024377,0.018107,0.018398,-0.000382,0.001739,-0.005402,-0.012455,0.002688,-0.005110,0.008055,-0.005089,0.004789,-0.003414,0.009777,-0.005886,-0.021730,-0.007980
6,0.017089,0.015188,0.017985,0.014901,-0.004189,0.006173,-0.004341,0.005375,-0.009916,0.000894,0.006061,-0.000952,-0.004373,0.003420,0.001378,-0.007337,-0.015217,-0.010203
7,0.019570,0.017831,0.006960,0.009816,-0.006339,0.003144,0.000880,-0.000273,-0.003137,0.004434,-0.001305,-0.011914,-0.004137,-0.000345,0.000369,-0.017651,-0.007187,-0.013150
8,0.024193,0.014119,0.023164,0.015071,-0.016401,-0.003217,0.002166,-0.005295,-0.005866,-0.005077,0.005450,0.003183,0.008196,-0.001318,-0.002920,-0.016203,-0.013910,-0.009286
9,0.015230,0.011215,0.013587,0.006162,0.009278,-0.000712,-0.000652,-0.007693,-0.001807,-0.004831,0.000932,0.006122,0.009530,-0.002730,0.007224,-0.009602,-0.009710,-0.008226
10,0.017835,0.021698,0.008653,0.017443,-0.005777,-0.004335,0.003575,-0.006247,0.000157,0.000338,-0.007055,-0.006887,-0.005985,-0.000338,-0.001839,-0.007555,-0.019842,-0.015379
11,0.015698,0.014879,0.011404,0.013895,0.005212,-0.000917,0.009614,0.004328,-0.003655,-0.008018,-0.002135,0.003055,-0.002501,0.004243,0.000293,-0.021161,-0.012410,-0.016822
12,0.010666,0.014678,0.018485,0.014454,-0.007716,-0.000621,0.005842,-0.003380,-0.001880,0.001088,-0.000030,-0.005042,-0.000319,-0.002827,0.002104,-0.010713,-0.014375,-0.008528
13,0.013179,0.013703,0.016869,0.016447,0.000935,-0.002573,0.004626,-0.006462,0.008099,0.003101,-0.007669,0.001749,-0.000062,-0.009028,0.010439,-0.012501,-0.014927,-0.012411
14,0.015176,0.019770,0.017499,0.020371,0.004175,-0.006691,-0.007841,0.001642,0.003378,-0.004765,-0.010315,-0.002373,0.007480,0.004242,-0.004727,-0.011514,-0.009626,-0.018036
15,0.015099,0.018034,0.008397,0.016058,0.004202,0.000911,0.002613,-0.001963,-0.000579,-0.006861,0.000569,-0.001187,-0.003718,-0.004020,0.001982,-0.015052,-0.012449,-0.012352
16,0.018452,0.012620,0.019770,0.010702,0.002902,-0.006101,0.017420,-0.005973,-0.001663,-0.001023,-0.003755,-0.003050,-0.002271,-0.002292,-0.003820,-0.017383,-0.006769,-0.006762
17,0.013912,0.019947,0.015605,0.014599,0.005666,-0.000907,0.002338,-0.008327,-0.007066,-0.004249,-0.010122,0.002433,-0.010700,0.000622,0.007271,-0.006408,-0.015472,-0.013573
18,0.015701,0.018611,0.022092,0.016504,0.002909,-0.001385,0.001876,-0.005175,-0.002765,0.004646,-0.005523,0.004129,0.007012,-0.003475,-0.000347,-0.011968,-0.015121,-0.010384
19,0.013578,0.014593,0.016002,0.011845,-0.002966,0.000218,-0.004107,-0.008920,0.001562,-0.000023,-0.000627,0.000654,-0.002126,0.002414,-0.001981,-0.014469,-0.013340,-0.016400
20,0.015340,0.007200,0.011306,0.019135,-0.005782,-0.002709,0.007665,-0.003676,-0.001090,-0.001058,-0.004409,0.003345,0.000133,0.003720,0.003079,-0.020204,-0.017099,-0.018500
