trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
0,1000,1,0.016129,0.014280,0.023808,0.015263,nan,0.002211,-0.014886,-0.002295,0.003190,0.006488,-0.006970,-0.001649,0.000862,-0.004794,-0.008731,0.001560,-0.016981,nan,-0.012454,-0.017542
1,1000,1,0.017861,0.016112,0.017213,0.015154,-0.007480,-0.000664,0.004158,0.001393,-0.004184,0.007884,0.011590,-0.001733,0.006864,-0.002410,0.001028,0.005134,nan,-0.013842,-0.015901,nan
2,1000,1,0.014062,nan,0.016157,nan,-0.012229,-0.003617,0.003659,0.002017,0.000864,0.000368,-0.000172,-0.005954,-0.003394,-0.001045,0.001228,-0.006989,-0.022423,-0.018357,-0.013173,-0.018657
3,1000,1,0.018152,0.016889,0.015806,0.031941,0.009846,-0.002794,0.000591,-0.001147,nan,0.003461,nan,-0.002711,-0.001167,-0.007768,-0.001610,-0.002602,-0.021874,-0.003829,-0.013919,-0.014186
4,1000,1,0.013009,0.024600,0.020245,0.021520,-0.010067,-0.002183,0.000090,0.007394,0.004006,nan,0.002905,0.002384,0.000988,-0.005652,-0.003127,0.004668,-0.019431,-0.011496,nan,-0.019518
5,1000,1,0.020392,0.016582,0.018895,0.020307,nan,0.001545,-0.002045,0.002297,nan,0.002405,0.000146,0.005193,0.002436,0.002201,-0.001736,-0.001417,-0.014038,-0.030624,-0.020458,-0.018426
6,1000,1,0.019047,nan,0.022549,0.019665,0.005098,nan,-0.003173,-0.000699,0.001546,-0.008539,0.013457,-0.006752,-0.000037,0.002384,0.006517,0.003583,-0.022315,-0.007057,-0.028325,-0.021847
7,1000,1,0.015008,0.022317,0.024420,0.017911,-0.006396,-0.006197,0.002727,-0.000433,0.003181,nan,-0.004906,-0.011732,-0.003828,0.000676,-0.005412,0.000476,-0.012740,-0.011026,-0.010183,nan
8,1000,1,0.014363,nan,0.022035,0.009797,-0.003575,0.004768,0.000534,-0.000763,-0.005431,-0.002471,0.004645,-0.002381,0.000645,0.007354,-0.008630,0.017244,-0.013683,-0.011076,nan,-0.017398
9,1000,1,0.023198,0.022636,0.017960,0.018835,0.000425,-0.004129,nan,-0.003265,-0.001420,-0.006436,nan,-0.001357,-0.014549,-0.009620,-0.003218,0.005914,-0.020091,-0.032863,-0.018212,-0.014863
10,1000,1,0.015678,nan,0.024945,nan,-0.000325,-0.000968,0.003867,0.003629,-0.007361,0.000011,-0.001527,0.000181,-0.006006,-0.005418,-0.007829,0.009503,-0.029100,-0.018141,-0.017327,-0.034878
11,1000,1,0.023511,0.015392,nan,0.025826,0.000876,0.002877,-0.004483,0.000660,0.003469,0.001620,nan,-0.005202,-0.002928,-0.003518,-0.002764,0.007026,-0.015887,-0.020996,-0.011571,-0.007357
