trajectory,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_14,sc_15,sc_16,sc_17,sc_19
0,0.018756,0.018642,0.024076,0.013897,0.000833,-0.002069,-0.003247,-0.000879,0.008773,0.002402,-0.000803,-0.025220,-0.000476,-0.007380,-0.012231,-0.020896,-0.023369,-0.031135
1,0.017509,0.022056,0.024285,0.020601,-0.000866,0.001635,-0.000830,-0.002678,0.000044,0.001846,0.001413,0.003097,-0.003337,-0.001988,-0.001859,-0.006595,-0.022483,-0.013505
2,0.016581,0.009612,0.016848,0.015650,-0.009091,0.005845,-0.000764,0.003212,0.005402,-0.003541,-0.002076,-0.000489,-0.006673,-0.000579,0.007720,-0.027355,-0.020048,-0.013021
3,0.013610,0.017948,0.014849,0.019090,0.003222,0.000848,0.003442,-0.005108,0.003264,0.007085,-0.007043,-0.000869,0.017176,0.008295,0.004580,-0.031218,-0.031215,-0.017885
4,0.011898,0.025354,0.022214,0.021340,-0.001633,-0.003901,0.000637,-0.008725,-0.011579,0.002622,-0.002851,0.006772,-0.002754,-0.002221,0.018493,-0.011203,-0.012357,-0.017095
5,0.017013,0.031189,0.022114,0.023214,-0.001855,0.003274,-0.006148,-0.016613,0.002214,-0.007309,0.007906,-0.005489,0.006251,-0.003604,0.012437,-0.007738,-0.031052,-0.009769
6,0.020534,0.018949,0.021464,0.018653,-0.006125,0.007111,-0.004760,0.006179,-0.012054,-0.000184,0.006924,-0.000033,-0.006688,0.002186,0.000079,-0.009921,-0.023400,-0.014180
7,0.021919,0.022309,0.008463,0.010642,-0.007096,0.003433,0.000813,-0.000355,-0.004411,0.005618,-0.001312,-0.014901,-0.007689,-0.001831,-0.001282,-0.023886,-0.008071,-0.018418
8,0.038688,0.018596,0.027953,0.018016,-0.024898,-0.006485,0.002789,-0.005347,-0.007114,-0.006687,0.007130,0.004240,0.008931,-0.001134,-0.002021,-0.022993,-0.016165,-0.011389
9,0.018315,0.013716,0.016475,0.007494,0.011516,-0.000999,-0.000521,-0.008090,-0.001328,-0.005369,0.001433,0.007893,0.010688,-0.003513,0.008876,-0.012585,-0.012203,-0.010502
10,0.022631,0.027630,0.009716,0.020912,-0.006739,-0.003970,0.004913,-0.008446,-0.000169,0.003007,-0.008064,-0.009208,-0.010186,0.000773,-0.003702,-0.007892,-0.027086,-0.022784
11,0.021000,0.017855,0.011013,0.015977,0.006991,-0.001510,0.011111,0.004773,-0.004593,-0.011755,-0.002272,0.004528,-0.006425,0.007588,-0.004609,-0.038992,-0.014980,-0.025342
12,0.013410,0.017862,0.023045,0.018030,-0.008153,-0.002563,0.005150,-0.002367,-0.001848,0.002125,-0.000661,-0.006440,-0.000814,-0.004815,0.001565,-0.014383,-0.019253,-0.012560
13,0.015282,0.017094,0.021190,0.020146,-0.001118,-0.003972,0.004283,-0.008130,0.008105,0.002603,-0.010060,0.001937,0.000584,-0.011986,0.013648,-0.014711,-0.019865,-0.015167
14,0.020165,0.023583,0.022904,0.024532,0.004636,-0.007631,-0.009718,0.000040,0.002281,-0.005617,-0.013934,-0.001508,0.010328,0.005370,-0.004860,-0.015472,-0.010858,-0.029434
