trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
0,1000,1,0.017575,0.018023,0.021833,0.017374,nan,-0.000296,-0.001959,0.000935,-0.000756,0.001208,-0.001483,-0.008927,-0.006087,0.002515,0.006310,0.003906,-0.009697,nan,-0.026648,-0.016138
1,1000,1,0.015593,0.015649,0.017969,0.016926,0.000025,0.010380,0.000400,-0.004352,0.003159,-0.000369,-0.010073,0.001954,-0.013843,0.004826,0.001401,0.005216,nan,-0.017036,-0.012108,nan
2,1000,1,0.025585,nan,0.005881,nan,0.005328,-0.006385,-0.003189,-0.002357,0.000013,-0.000591,-0.000775,0.008955,0.001762,0.003174,0.001776,0.005533,-0.005996,-0.019844,-0.021490,-0.011773
3,1000,1,0.014329,0.013331,0.024029,0.013452,-0.005009,0.001344,-0.001260,-0.000070,nan,0.003139,nan,0.000264,0.001817,-0.000952,-0.000825,0.005944,-0.015036,-0.022979,-0.022717,-0.016395
4,1000,1,0.018630,0.013452,0.026350,0.017211,-0.005028,-0.004901,-0.003083,-0.004627,-0.006105,nan,0.002873,0.001570,-0.001418,0.002852,0.006136,0.000683,-0.016568,-0.022158,nan,-0.016305
5,1000,1,0.016410,0.014495,0.016239,0.021948,nan,0.000606,0.002575,0.000513,nan,-0.000763,0.006166,0.001726,0.000681,0.001226,-0.007750,0.005140,-0.015130,-0.016521,-0.009896,-0.015786
6,1000,1,0.019131,nan,0.017703,0.016152,0.007467,nan,-0.000227,0.004212,-0.012546,-0.004504,0.000246,-0.004672,-0.005245,-0.000672,-0.001436,-0.000154,-0.013103,-0.018187,-0.021527,-0.014171
7,1000,1,0.014695,0.021475,0.016422,0.013214,0.005320,0.012227,0.008303,-0.001379,0.005413,nan,-0.006286,-0.003334,-0.004696,0.001226,0.004059,0.002148,-0.008829,-0.008275,-0.010702,nan
8,1000,1,0.020025,nan,0.012214,0.015619,0.004606,0.002870,0.008498,-0.013818,-0.004495,0.004121,-0.001438,0.003484,0.000337,0.002367,0.008124,-0.000874,-0.016008,-0.015821,nan,-0.014221
9,1000,1,0.017118,0.016667,0.012273,0.016825,0.003101,0.003330,nan,0.000709,-0.001472,-0.000556,nan,0.002224,-0.002719,-0.000704,0.005475,-0.003583,-0.011716,-0.024484,-0.016151,-0.019034
10,1000,1,0.019224,nan,0.022306,nan,-0.001668,-0.000492,-0.001601,-0.007649,0.007343,0.001658,0.006915,-0.001659,0.001353,-0.002422,-0.000692,-0.000519,-0.011379,-0.014208,-0.013009,-0.013874
