trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
0,1000,1,0.014748,0.015295,0.021867,0.018539,nan,-0.000963,0.001629,0.001976,0.000636,-0.001394,0.002324,-0.007529,-0.002363,0.002347,0.006936,0.002117,-0.012153,nan,-0.022597,-0.016225
1,1000,1,0.018164,0.014392,0.018311,0.015236,0.001259,0.008544,-0.000658,-0.009057,-0.000179,-0.001165,-0.007046,0.000243,-0.007246,0.005058,0.000715,-0.001741,nan,-0.014998,-0.015902,nan
2,1000,1,0.024355,nan,0.012544,nan,0.004511,-0.008330,-0.002166,-0.003468,0.000351,-0.007034,-0.000782,0.008496,0.003269,0.004584,0.001890,0.004356,-0.012892,-0.018779,-0.020343,-0.013052
3,1000,1,0.015536,0.014681,0.024160,0.013032,-0.005737,0.002017,-0.000877,0.001817,nan,0.002739,nan,0.002136,0.002255,0.000165,-0.000980,0.003193,-0.015178,-0.022285,-0.022485,-0.013948
4,1000,1,0.019412,0.018437,0.020188,0.017892,-0.001753,-0.005261,-0.000467,-0.001558,-0.001926,nan,-0.000999,0.002312,0.001232,0.002489,0.001004,0.003308,-0.016298,-0.029304,nan,-0.015237
5,1000,1,0.018226,0.013505,0.021182,0.014019,nan,0.000356,0.001131,-0.000196,nan,-0.000389,0.007242,0.000388,0.000903,-0.000825,-0.001011,0.003949,-0.015951,-0.017202,-0.014955,-0.017552
6,1000,1,0.018079,nan,0.019648,0.018503,0.006147,nan,-0.000302,0.004314,-0.006809,-0.004188,0.000814,-0.004889,-0.004493,-0.002894,-0.000560,0.001107,-0.012172,-0.017219,-0.022236,-0.012380
7,1000,1,0.014403,0.020862,0.017659,0.016229,0.001097,0.008008,0.005654,-0.003135,0.004963,nan,-0.003058,-0.002925,-0.001547,0.000773,-0.001410,0.002663,-0.011102,-0.014685,-0.011500,nan
8,1000,1,0.022210,nan,0.016057,0.015831,0.001125,-0.001559,0.005464,-0.012406,-0.001830,0.002505,-0.001599,0.003074,0.000703,0.002275,0.003471,-0.001700,-0.019320,-0.016213,nan,-0.015338
9,1000,1,0.018671,0.019007,0.013036,0.019896,0.002332,0.000478,nan,-0.002041,0.000020,0.000243,nan,0.000473,-0.001517,-0.003045,0.000962,-0.003078,-0.016459,-0.021422,-0.014464,-0.015452
10,1000,1,0.017273,nan,0.021797,nan,-0.000918,-0.001357,-0.001401,-0.005202,0.004425,-0.000224,0.004311,-0.000284,-0.000869,-0.001589,-0.001371,-0.001993,-0.011677,-0.014778,-0.016951,-0.015518
11,1000,1,0.021782,0.017547,nan,0.016483,-0.001455,-0.002121,0.001088,0.000956,0.001553,0.003790,nan,0.000448,-0.005330,0.001576,-0.000641,-0.002440,-0.016647,-0.016010,-0.012804,-0.013833
12,1000,1,0.017158,0.028045,0.010226,0.016772,-0.000813,-0.003006,0.000478,-0.001398,-0.005877,0.002376,-0.000749,0.004316,0.000636,0.002317,0.002393,0.000591,-0.011587,-0.020101,nan,nan
13,1000,1,0.022299,0.018990,0.015493,0.015720,nan,0.002774,-0.001285,-0.002216,-0.001928,-0.001042,0.001197,-0.000751,-0.000535,-0.000363,0.007602,0.000735,nan,-0.022827,-0.015083,-0.018718
14,1000,1,0.016590,0.015664,0.016191,nan,-0.000393,-0.000280,0.000044,0.001378,0.009292,-0.000934,0.003083,0.003353,-0.000351,0.000351,0.003109,nan,-0.020174,-0.017091,-0.015664,-0.010331
15,1000,1,0.015821,0.015861,0.029068,0.012893,nan,0.001930,-0.003728,-0.005710,-0.001889,-0.000297,-0.001826,-0.001738,-0.002531,0.000434,-0.007638,-0.002264,-0.019196,-0.018895,nan,-0.009627
16,1000,1,0.011831,0.016584,0.023621,nan,0.000722,0.007091,0.003960,0.003574,-0.004140,-0.001101,-0.002620,-0.000935,-0.001026,-0.006393,0.002671,0.001591,-0.013395,nan,-0.017919,-0.024582
17,1000,1,nan,0.015553,0.021130,0.022243,-0.002918,0.001955,0.000910,-0.005046,-0.006240,-0.005763,0.000293,-0.002828,0.002625,-0.002939,0.003541,nan,-0.020758,-0.012538,-0.014305,-0.014953
18,1000,1,0.016762,0.019604,0.015597,0.023554,0.001108,0.000294,0.000271,0.000629,nan,0.001702,-0.004296,-0.000449,0.013016,-0.000490,nan,0.001349,-0.020304,-0.018205,-0.015714,-0.012479
19,1000,1,0.020914,0.018334,0.005188,0.008697,-0.001716,-0.000173,0.000704,-0.004160,0.001750,0.000967,0.000143,0.002250,0.000759,-0.001840,0.004073,0.004079,nan,-0.014846,-0.028672,nan
20,1000,1,0.013581,nan,0.016748,0.021535,-0.003188,-0.000019,-0.005901,-0.005186,-0.005708,-0.004538,0.001399,0.004090,0.003033,0.003009,0.002074,0.000834,nan,-0.013166,-0.016830,-0.021642
21,1000,1,0.017256,0.014454,0.029076,0.018148,-0.001252,-0.001798,-0.003001,0.001310,nan,0.003062,-0.001347,-0.002070,0.001432,-0.001466,0.003255,0.000852,-0.017644,-0.015564,-0.015089,nan
22,1000,1,0.018427,0.018721,0.013818,0.022038,-0.000249,0.002368,0.003826,0.000027,-0.003111,-0.000377,nan,0.003894,0.004114,-0.001749,0.002060,-0.006643,nan,-0.016214,-0.019390,-0.025794
23,1000,1,0.019421,0.012928,0.014323,0.018878,-0.001383,0.002597,0.003609,0.001278,-0.003624,-0.000713,-0.000511,0.000769,-0.004428,-0.001522,-0.001295,-0.000391,nan,-0.019778,nan,-0.017495
24,1000,1,0.025315,0.017938,0.015294,0.011168,-0.002549,0.000200,-0.003539,0.001950,0.000171,-0.001010,nan,0.004010,-0.001980,0.001802,nan,0.005545,-0.014668,-0.012324,-0.017767,-0.019750
25,1000,1,nan,0.020426,0.011056,0.018506,-0.002575,-0.003720,0.002293,0.007646,-0.001435,-0.000150,-0.002778,-0.002798,0.002877,0.002270,0.002452,0.003051,nan,-0.023208,-0.021273,-0.009869
26,1000,1,0.013672,0.018009,nan,0.017508,-0.003524,-0.001147,-0.002335,-0.003066,-0.001141,-0.003939,0.004230,0.000159,0.003507,0.001859,-0.000945,0.002603,nan,-0.010569,-0.023265,-0.020629
27,1000,1,0.028959,0.004579,0.022989,0.012708,0.002304,0.000792,-0.004120,-0.006522,-0.002928,0.003591,-0.002918,-0.004926,-0.005776,-0.004560,nan,-0.000671,-0.015859,-0.019846,-0.016275,nan
28,1000,1,0.014193,0.007999,0.013267,0.018432,nan,-0.001489,-0.000628,-0.000651,-0.000077,-0.005843,-0.001543,-0.006173,-0.001971,nan,0.001004,-0.003337,-0.023370,-0.011935,-0.016639,-0.017138
29,1000,1,nan,0.015631,0.022871,nan,-0.002990,0.000045,0.005570,-0.002438,-0.006540,-0.004625,0.000308,0.005622,0.001759,0.001301,0.001128,0.003468,-0.021894,-0.021843,-0.022019,-0.025104
30,1000,1,0.018913,0.018874,0.016299,0.015697,0.003417,nan,0.002805,0.002459,0.004218,0.003886,0.001007,0.000385,-0.000394,-0.000141,-0.003239,0.001081,-0.016615,-0.016089,-0.023321,nan
31,1000,1,0.013854,0.012639,0.017246,0.014132,0.003717,0.002728,0.000490,nan,-0.000127,0.001871,nan,0.002555,0.003395,-0.005838,0.005407,0.004324,-0.015773,-0.018281,-0.011796,-0.012909
32,1000,1,0.016564,0.022494,0.019614,0.018749,0.003666,0.001344,-0.002876,0.001574,-0.002220,nan,nan,-0.003507,0.002502,0.004354,-0.002731,0.003141,-0.016360,-0.016105,-0.013163,-0.010096
33,1000,1,0.013479,0.020486,0.020244,0.019263,-0.002532,nan,-0.007347,-0.003143,0.004647,-0.004005,0.000833,-0.001357,0.002481,0.000802,0.005906,0.002678,-0.027467,-0.023280,nan,-0.013327
