trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
0,1000,1,0.017583,0.018081,0.021846,0.017381,nan,-0.000279,-0.001925,0.000931,-0.000760,0.001208,-0.001440,-0.008928,-0.006108,0.002536,0.006285,0.003917,-0.009694,nan,-0.026659,-0.016130
1,1000,1,0.015598,0.015675,0.017967,0.016910,0.000042,0.010370,0.000422,-0.004394,0.003160,-0.000365,-0.010084,0.001928,-0.013883,0.004841,0.001426,0.005269,nan,-0.017087,-0.012093,nan
2,1000,1,0.025585,nan,0.005876,nan,0.005290,-0.006387,-0.003189,-0.002381,0.000025,-0.000599,-0.000766,0.008962,0.001760,0.003165,0.001771,0.005539,-0.005981,-0.019840,-0.021498,-0.011762
3,1000,1,0.014361,0.013322,0.024061,0.013429,-0.004973,0.001353,-0.001248,-0.000122,nan,0.003106,nan,0.000271,0.001800,-0.000986,-0.000831,0.005939,-0.015001,-0.022952,-0.022705,-0.016437
4,1000,1,0.018623,0.013451,0.026338,0.017225,-0.005035,-0.004910,-0.003078,-0.004623,-0.006110,nan,0.002833,0.001554,-0.001426,0.002821,0.006130,0.000667,-0.016574,-0.022172,nan,-0.016292
5,1000,1,0.016394,0.014501,0.016161,0.021964,nan,0.000583,0.002603,0.000528,nan,-0.000754,0.006168,0.001712,0.000703,0.001236,-0.007768,0.005139,-0.015112,-0.016487,-0.009874,-0.015775
6,1000,1,0.019110,nan,0.017710,0.016128,0.007446,nan,-0.000237,0.004284,-0.012500,-0.004509,0.000192,-0.004676,-0.005275,-0.000721,-0.001405,-0.000254,-0.013155,-0.018162,-0.021519,-0.014199
7,1000,1,0.014690,0.021453,0.016411,0.013224,0.005290,0.012079,0.008261,-0.001403,0.005423,nan,-0.006245,-0.003339,-0.004742,0.001195,0.004085,0.002148,-0.008850,-0.008255,-0.010726,nan
8,1000,1,0.019968,nan,0.012210,0.015659,0.004472,0.002874,0.008521,-0.013791,-0.004440,0.003765,-0.001430,0.003466,0.000338,0.002437,0.008071,-0.000908,-0.016118,-0.015867,nan,-0.014279
9,1000,1,0.017096,0.016663,0.012264,0.016804,0.003042,0.003441,nan,0.000712,-0.001446,-0.000670,nan,0.002315,-0.002640,-0.000633,0.005474,-0.003613,-0.011694,-0.024485,-0.016105,-0.019040
10,1000,1,0.019255,nan,0.022285,nan,-0.001632,-0.000445,-0.001582,-0.007629,0.007319,0.001718,0.006997,-0.001660,0.001337,-0.002467,-0.000697,-0.000565,-0.011374,-0.014212,-0.012994,-0.013872
11,1000,1,0.022599,0.016175,nan,0.018964,-0.002798,-0.002263,-0.001488,0.003025,0.002126,0.000101,nan,-0.000814,-0.007667,0.003340,0.000008,-0.003758,-0.016620,-0.014313,-0.010355,-0.010312
12,1000,1,0.017615,0.027212,0.009105,0.015922,-0.000688,-0.005734,0.001242,-0.000206,-0.007916,-0.000291,-0.002772,0.005725,0.001340,0.001511,0.001693,0.000720,-0.013000,-0.019737,nan,nan
13,1000,1,0.026221,0.019789,0.019021,0.015618,nan,0.003342,-0.003676,-0.002563,-0.002829,-0.001195,0.002711,-0.001313,-0.002643,-0.001256,0.007824,-0.004453,nan,-0.020800,-0.019335,-0.019881
14,1000,1,0.017227,0.012952,0.021217,nan,-0.003119,-0.000478,-0.000294,0.004866,0.007499,-0.002940,0.005776,0.005323,0.000705,0.000890,0.002594,nan,-0.021717,-0.019233,-0.011435,-0.010298
15,1000,1,0.013217,0.013447,0.030051,0.007663,nan,0.003108,-0.005980,-0.011441,-0.000489,-0.000651,-0.007017,-0.006708,-0.001828,-0.000282,-0.008514,-0.003789,-0.017962,-0.024351,nan,-0.010336
16,1000,1,0.012645,0.010273,0.027991,nan,-0.001320,0.006032,0.009070,0.004316,-0.002927,-0.002097,-0.002544,-0.000935,-0.000287,-0.010703,0.003905,0.004787,-0.015888,nan,-0.019831,-0.023377
17,1000,1,nan,0.015261,0.027530,0.022144,0.000977,0.003056,0.000040,-0.007986,-0.005333,-0.004458,-0.001160,-0.009084,0.002852,-0.002399,0.003544,nan,-0.015036,-0.013891,-0.011882,-0.019479
18,1000,1,0.014818,0.019157,0.016870,0.023017,0.000183,-0.001626,0.000343,0.000451,nan,0.002894,-0.005375,0.001329,0.011049,0.000331,nan,0.002604,-0.021614,-0.015049,-0.017334,-0.012797
19,1000,1,0.023028,0.016169,0.003637,-0.000531,-0.002288,0.000814,-0.001386,-0.005612,0.002889,0.000742,-0.000777,0.004940,0.001070,-0.002991,0.005341,0.003866,nan,-0.013324,-0.027858,nan
20,1000,1,0.013282,nan,0.017685,0.021893,-0.004530,0.000194,-0.006975,-0.009131,-0.003043,-0.003624,0.003674,0.001879,0.004018,0.005180,0.003013,-0.003906,nan,-0.015273,-0.017496,-0.026178
21,1000,1,0.017071,0.013066,0.034848,0.019442,0.002541,-0.000249,-0.000123,0.001641,nan,0.004729,0.002203,-0.004140,0.003935,-0.002136,0.007914,-0.000039,-0.014784,-0.015428,-0.015655,nan
